feature,available_from,source,description
ccrth_dest_capacity_scenario_marginal_probability,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_capacity_scenario_constrained_probability,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_expected_direction_capacity,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_expected_movement_capacity,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_direction_utilization,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_movement_utilization,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_overload_probability,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_expected_slack,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_expected_queue,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_queue_p90,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_recovery_minutes,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_shadow_price,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_marginal_overload,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_metro_utilization,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_metro_queue,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_dest_optional_constraint_available,FORECAST_24H,optional issue-time-vintaged operational constraint adapter,Constraint admitted only when issued no later than the flight cutoff.
ccrth_dest_optional_constraint_overload_probability,FORECAST_24H,optional issue-time-vintaged operational constraint adapter,Constraint admitted only when issued no later than the flight cutoff.
ccrth_rotation_connected_probability,FORECAST_24H,"prior-year-supervised, target-year schedule-only latent rotation graph",One-hop probability-weighted message from candidate predecessor resources.
ccrth_rotation_resource_message_coverage,FORECAST_24H,"prior-year-supervised, target-year schedule-only latent rotation graph",One-hop probability-weighted message from candidate predecessor resources.
ccrth_rotation_predecessor_capacity_overload,FORECAST_24H,"prior-year-supervised, target-year schedule-only latent rotation graph",One-hop probability-weighted message from candidate predecessor resources.
ccrth_rotation_predecessor_capacity_queue,FORECAST_24H,"prior-year-supervised, target-year schedule-only latent rotation graph",One-hop probability-weighted message from candidate predecessor resources.
ccrth_rotation_predecessor_capacity_shadow_price,FORECAST_24H,"prior-year-supervised, target-year schedule-only latent rotation graph",One-hop probability-weighted message from candidate predecessor resources.
ccrth_route_max_overload_probability,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_route_max_queue_p90,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_route_min_expected_slack,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_route_sum_shadow_price,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_route_bottleneck_is_destination,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_route_max_weather_capacity_stress,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
ccrth_route_max_metro_utilization,FORECAST_24H,capacity-conditioned resource-time hypergraph,"Derived from registered schedule, prior-year frontier, static geometry, and T-24 weather."
